id,category,term,english,description,related_tracks,source
term-011-비정규-세력-해상-민병대,작전·공통 개념,비정규 세력 / 해상 민병대,Irregular Forces / Maritime Militia,정규군이 아닌 민병·무장 단체. 어선 등 민간 선박으로 위장하기도 함.,"[""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 13, ""version"": ""20260703_174407""}"
term-012-자급자족-자체-조달,작전·공통 개념,자급자족 / 자체 조달,Local Sourcing,보급선이 끊긴 상황에서 현지 자원으로 군수를 충당하는 것.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 14, ""version"": ""20260703_174407""}"
term-013-isr,작전·공통 개념,ISR,"Intelligence, Surveillance, Reconnaissance",정보·감시·정찰. 표적·상황 정보를 수집·감시·정찰하는 활동(전 영역 공통).,"[""T1"", ""T2"", ""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 15, ""version"": ""20260703_174407""}"
term-014-conops,작전·공통 개념,CONOPS,Concept of Operations,운용 개념. 체계를 실제로 '어떻게 운용할지'를 정의한 개념.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 16, ""version"": ""20260703_174407""}"
term-015-합성-가상-데이터,작전·공통 개념,합성·가상 데이터,Synthetic Data,실제 데이터 대신 모의로 생성한 훈련·시험용 데이터(민간 해커톤 데이터 기준).,"[""T1"", ""T3"", ""T5""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 17, ""version"": ""20260703_174407""}"
term-016-uxv,무인·자율 / 대드론,UxV,Unmanned x Vehicle,공중·지상·해상 무인 이동체의 총칭(x에 Air/Ground/Surface 대입).,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 18, ""version"": ""20260703_174407""}"
term-017-uas,무인·자율 / 대드론,UAS,Unmanned Aircraft System,무인 항공 시스템. 드론 기체 + 지상통제 + 데이터링크를 포함.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 19, ""version"": ""20260703_174407""}"
term-018-ugv,무인·자율 / 대드론,UGV,Unmanned Ground Vehicle,무인 지상 차량.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 20, ""version"": ""20260703_174407""}"
term-019-usv,무인·자율 / 대드론,USV,Unmanned Surface Vehicle,무인 수상정(보트).,"[""T1"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 21, ""version"": ""20260703_174407""}"
term-020-유무인-복합-mum-t,무인·자율 / 대드론,유무인 복합 / MUM-T,Manned-Unmanned Teaming,사람이 운용하는 체계와 무인체계가 한 팀으로 협업하는 운용 개념.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 22, ""version"": ""20260703_174407""}"
term-021-counter-uas-c-uas,무인·자율 / 대드론,Counter-UAS (C-UAS),Counter-Unmanned Aircraft System,적 무인기를 탐지·추적·식별·무력화하는 대드론 체계.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 23, ""version"": ""20260703_174407""}"
term-022-lss,무인·자율 / 대드론,LSS,"Low, Slow, Small",저고도·저속·저신호. 기존 레이더로 탐지가 어려운 소형 비행체 특성.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 24, ""version"": ""20260703_174407""}"
term-023-소프트킬-하드킬,무인·자율 / 대드론,소프트킬 / 하드킬,Soft-kill / Hard-kill,전자적 교란으로 무력화(소프트킬) vs 물리적 타격으로 파괴(하드킬).,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 25, ""version"": ""20260703_174407""}"
term-024-iff,무인·자율 / 대드론,IFF,Identification Friend or Foe,피아식별. 아군·적·미상을 구분하는 절차·체계.,"[""T1"", ""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 26, ""version"": ""20260703_174407""}"
term-025-지형-마스킹-추종,무인·자율 / 대드론,지형 마스킹 / 추종,Terrain Masking / Following,지형을 엄폐물로 활용하거나 지형 고도에 맞춰 저고도 비행하는 기동.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 27, ""version"": ""20260703_174407""}"
term-026-자율-임무-재계획,무인·자율 / 대드론,자율 임무 재계획,Autonomous Re-Planning,위협·환경 변화 시 무인기가 스스로 경로·임무를 다시 계획하는 것.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 28, ""version"": ""20260703_174407""}"
term-027-군집,무인·자율 / 대드론,군집,Swarm,다수 무인기가 협조해 하나의 임무를 수행하는 운용(군집 위협=Swarming).,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 29, ""version"": ""20260703_174407""}"
term-028-사람-개입-in-the-loop,무인·자율 / 대드론,사람 개입 (in-the-loop),Human-in-the-loop,자동화의 매 결정에 사람의 판단·승인을 개입시키는 설계.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 30, ""version"": ""20260703_174407""}"
term-029-사람-감독-on-the-loop,무인·자율 / 대드론,사람 감독 (on-the-loop),Human-on-the-loop,"사람은 감독만 하고 시스템이 자율 실행, 개입은 예외적(종말유도 등).","[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 31, ""version"": ""20260703_174407""}"
term-030-자율-종말-유도,무인·자율 / 대드론,자율 종말 유도,Autonomous Terminal Guidance,마지막(종말) 단계에서 표적을 스스로 탐지·추적·유도하는 것.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 32, ""version"": ""20260703_174407""}"
term-031-fpv,무인·자율 / 대드론,FPV,First-Person View,1인칭 시점 드론. 조종사가 기체 영상으로 직접 조종하는 방식.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 33, ""version"": ""20260703_174407""}"
term-032-gcs,무인·자율 / 대드론,GCS,Ground Control Station,지상통제소. 무인기를 운용·통제하는 지상 장비/시스템.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 34, ""version"": ""20260703_174407""}"
term-033-객체-탐지,무인·자율 / 대드론,객체 탐지,Object Detection,영상에서 물체의 위치·종류를 찾아내는 비전 기술.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 35, ""version"": ""20260703_174407""}"
term-034-기만,무인·자율 / 대드론,기만,Decoy,적의 탐지·공격을 유인·교란하기 위한 가짜 표적·임무.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 36, ""version"": ""20260703_174407""}"
term-035-ew,무인·자율 / 대드론,EW,Electronic Warfare,전자전. 전자기 스펙트럼을 이용·교란(재밍)·방어하는 작전.,"[""T1"", ""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 37, ""version"": ""20260703_174407""}"
term-036-eo-ir,무인·자율 / 대드론,EO/IR,Electro-Optical / Infrared,전자광학/적외선 센서(주간 영상 / 열영상).,"[""T1"", ""T3"", ""T4""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 38, ""version"": ""20260703_174407""}"
term-037-재밍,무인·자율 / 대드론,재밍,Jamming,전파를 방해해 통신·레이더·GPS를 무력화하는 전자공격.,"[""T1"", ""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 39, ""version"": ""20260703_174407""}"
term-038-cca,공중·우주 / 공군 (Air & Space),CCA,Collaborative Combat Aircraft,협업 전투기. 유인기와 한 팀으로 작전하는 무인 전투기.,"[""T1""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 40, ""version"": ""20260703_174407""}"
term-039-project-maven,공중·우주 / 공군 (Air & Space),Project Maven,Project Maven,미 국방부의 AI 기반 영상·정보 분석 프로젝트. 다중소스 ISR 융합의 대표 사례.,"[""T2""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 41, ""version"": ""20260703_174407""}"
term-040-aip,공중·우주 / 공군 (Air & Space),AIP,Palantir AIP (AI Platform),Palantir의 AI 운영 플랫폼. 온톨로지+LLM+에이전트로 작전 데이터를 분석·결심지원.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 42, ""version"": ""20260703_174407""}"
term-041-foundry,공중·우주 / 공군 (Air & Space),Foundry,Palantir Foundry,데이터를 통합·구조화해 운영·분석하는 Palantir 플랫폼.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 43, ""version"": ""20260703_174407""}"
term-042-ai-agent,공중·우주 / 공군 (Air & Space),AI Agent,AI Agent,도구·데이터를 활용해 목표를 자율적으로 수행하는 AI(질의응답·상황분석·자동화).,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 44, ""version"": ""20260703_174407""}"
term-043-link-16-전술데이터링크,공중·우주 / 공군 (Air & Space),Link-16 / 전술데이터링크,Link-16 / Tactical Data Link,항공기·부대 간 실시간으로 전술정보를 공유하는 군용 데이터링크.,"[""T3""]","{""spreadsheet_id"": ""1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o"", ""spreadsheet_title"": ""D4D_SEOUL_참가자안내(260629/공개)"", ""spreadsheet_url"": ""https://docs.google.com/spreadsheets/d/1l_ThafA1n5Wue2BnPeJ1FPpiZvThG6X9iIPRuJsxR5o/edit"", ""sheet"": ""B-3. 용어집"", ""gid"": ""1682873298"", ""row"": 45, ""version"": ""20260703_174407""}"
