source_type,source_id,target_type,target_id,relationship
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_040,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_050,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_060,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_070,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_080,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_090,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_100,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_110,case_has_eval_point
SimulationCase,case_b_link_degraded,CaseEvaluationPoint,eval_point_case_b_link_degraded_120,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_000,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_010,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_020,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_030,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_040,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_050,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_060,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_070,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_080,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_090,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_100,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_110,case_has_eval_point
SimulationCase,case_c_gnss_jamming_suspected,CaseEvaluationPoint,eval_point_case_c_gnss_jamming_suspected_120,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_000,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_010,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_020,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_030,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_040,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_050,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_060,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_070,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_080,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_090,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_100,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_110,case_has_eval_point
SimulationCase,case_d_spoofing_like_inconsistency,CaseEvaluationPoint,eval_point_case_d_spoofing_like_inconsistency_120,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_000,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_010,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_020,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_030,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_040,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_050,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_060,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_070,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_080,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_090,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_100,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_110,case_has_eval_point
SimulationCase,case_e_rejoin_audit,CaseEvaluationPoint,eval_point_case_e_rejoin_audit_120,case_has_eval_point
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_000,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_010,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_020,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_030,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_040,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_050,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_060,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_070,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_080,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_090,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_100,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_110,case_has_kalman_trace
SimulationCase,case_a_normal,KalmanTracePoint,kalman_case_a_normal_120,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_000,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_010,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_020,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_030,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_040,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_050,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_060,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_070,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_080,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_090,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_100,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_110,case_has_kalman_trace
SimulationCase,case_b_link_degraded,KalmanTracePoint,kalman_case_b_link_degraded_120,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_000,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_010,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_020,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_030,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_040,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_050,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_060,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_070,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_080,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_090,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_100,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_110,case_has_kalman_trace
SimulationCase,case_c_gnss_jamming_suspected,KalmanTracePoint,kalman_case_c_gnss_jamming_suspected_120,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_000,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_010,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_020,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_030,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_040,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_050,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_060,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_070,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_080,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_090,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_100,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_110,case_has_kalman_trace
SimulationCase,case_d_spoofing_like_inconsistency,KalmanTracePoint,kalman_case_d_spoofing_like_inconsistency_120,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_000,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_010,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_020,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_030,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_040,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_050,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_060,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_070,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_080,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_090,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_100,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_110,case_has_kalman_trace
SimulationCase,case_e_rejoin_audit,KalmanTracePoint,kalman_case_e_rejoin_audit_120,case_has_kalman_trace
SemanticPacket,sdot_uav_s1_status_summary,RoutingDecision,route_full_sync_sdot_uav_s1_status_summary,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_link_degraded,RoutingDecision,route_full_sync_sdot_uav_s1_link_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_gnss_degraded,RoutingDecision,route_full_sync_sdot_uav_s1_gnss_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_jamming_suspected,RoutingDecision,route_full_sync_sdot_uav_s1_jamming_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_spoofing_suspected,RoutingDecision,route_full_sync_sdot_uav_s1_spoofing_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_rejoin_audit_required,RoutingDecision,route_full_sync_sdot_uav_s1_rejoin_audit_required,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_status_summary,RoutingDecision,route_delta_sync_sdot_uav_s1_status_summary,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_link_degraded,RoutingDecision,route_delta_sync_sdot_uav_s1_link_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_gnss_degraded,RoutingDecision,route_delta_sync_sdot_uav_s1_gnss_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_jamming_suspected,RoutingDecision,route_delta_sync_sdot_uav_s1_jamming_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_spoofing_suspected,RoutingDecision,route_delta_sync_sdot_uav_s1_spoofing_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_rejoin_audit_required,RoutingDecision,route_delta_sync_sdot_uav_s1_rejoin_audit_required,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_status_summary,RoutingDecision,route_semantic_summary_sdot_uav_s1_status_summary,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_link_degraded,RoutingDecision,route_semantic_summary_sdot_uav_s1_link_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_gnss_degraded,RoutingDecision,route_semantic_summary_sdot_uav_s1_gnss_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_jamming_suspected,RoutingDecision,route_semantic_summary_sdot_uav_s1_jamming_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_spoofing_suspected,RoutingDecision,route_semantic_summary_sdot_uav_s1_spoofing_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_rejoin_audit_required,RoutingDecision,route_semantic_summary_sdot_uav_s1_rejoin_audit_required,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_status_summary,RoutingDecision,route_store_forward_sdot_uav_s1_status_summary,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_link_degraded,RoutingDecision,route_store_forward_sdot_uav_s1_link_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_gnss_degraded,RoutingDecision,route_store_forward_sdot_uav_s1_gnss_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_jamming_suspected,RoutingDecision,route_store_forward_sdot_uav_s1_jamming_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_spoofing_suspected,RoutingDecision,route_store_forward_sdot_uav_s1_spoofing_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_rejoin_audit_required,RoutingDecision,route_store_forward_sdot_uav_s1_rejoin_audit_required,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_status_summary,RoutingDecision,route_local_only_sdot_uav_s1_status_summary,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_link_degraded,RoutingDecision,route_local_only_sdot_uav_s1_link_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_gnss_degraded,RoutingDecision,route_local_only_sdot_uav_s1_gnss_degraded,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_jamming_suspected,RoutingDecision,route_local_only_sdot_uav_s1_jamming_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_spoofing_suspected,RoutingDecision,route_local_only_sdot_uav_s1_spoofing_suspected,packet_has_routing_decision
SemanticPacket,sdot_uav_s1_rejoin_audit_required,RoutingDecision,route_local_only_sdot_uav_s1_rejoin_audit_required,packet_has_routing_decision
DroneAsset,uav_s1,RejoinAudit,audit_uav_s1_case_c,asset_has_rejoin_audit
SimulationCase,case_c_gnss_jamming_suspected,RejoinAudit,audit_uav_s1_case_c,case_has_rejoin_audit
