scenario_id,component_id,component_label,part_category,variant,unit,effective_units_per_drone,daily_demand_units,domestic_line_capacity_units_per_day,domestic_output_before_ramp_units_per_day,effective_inventory_units,net_burn_units_per_day,survival_days_p10,survival_days_likely,survival_days_p90,ramp_ready_day,ramp_gap_days,localization_difficulty,vulnerability,bottleneck_rank,is_bottleneck,subcomponent_constraints,verification_need
baseline,fiber_spool_km,Fiber spool,harness,fiber_only,km,2.0,6666.0,208.7,37.6,161984,6628.4,13.5,24.4,39.5,18,0,LOW,green,11,False,,"fiber length, spool QA, payout packaging, and transport damage rate"
baseline,battery_cell_21700,High-discharge battery cell,power,all,cell,13.2,43995.6,138.6,24.9,1253875,43970.7,15.8,28.5,46.1,28,0,MEDIUM_LOW,yellow,12,False,,"cell origin lot, pack assembly line, BMS stock, connector format, and FIFO aging policy"
western_axis_threat,vtx_module,Video transmitter module,flight_stack,rf_only,ea,1.125,3749.6,33.9,6.1,28497,3743.5,4.3,7.6,12.3,77,69.4,HIGH,red,1,True,rf_chip_saw,"RF chipset, SAW filter, thermal design, certification constraints, and alternate BOM"
western_axis_threat,camera_module,Camera / imaging module,sensor_payload,all,ea,1.05,3499.7,38.6,6.9,30797,3492.7,4.9,8.8,14.2,81,72.2,HIGH,red,2,False,camera_cmos,"sensor module stock, lens compatibility, ISP/firmware interface, and calibration bench"
western_axis_threat,motor_bldc_fpv,BLDC motor class,propulsion,all,ea,4.2,13998.6,269.5,48.5,151185,13950.1,6.0,10.8,17.6,67,56.2,MEDIUM_HIGH,red,3,False,bearing_set | ndfeb_magnet,"NdFeB magnet stock, winding equipment, balancing, bearings, and test fixtures"
western_axis_threat,fiber_comm_module,Fiber communication module,flight_stack,fiber_only,ea,0.105,350.0,179.9,32.4,3605,317.6,6.1,11.4,18.7,42,30.6,MEDIUM,green,4,False,fiber_module_chip,"fiber module sourcing, spool interface, and payout mechanism validation"
western_axis_threat,frame_fpv,FPV-class frame,airframe,all,ea,1.0,3333.0,187.8,33.8,44996,3299.2,7.6,13.6,22.1,26,12.4,LOW,green,5,False,,"carbon/composite grade, mold availability, dimensional tolerance, and QA readiness"
western_axis_threat,flight_controller,Flight controller board,flight_stack,all,ea,1.05,3499.7,127.6,23.0,47245,3476.7,7.5,13.6,22.0,37,23.4,MEDIUM,red,6,False,imu_sensor | mcu_kit,"MCU and IMU stock, firmware porting, calibration bench, and test coverage"
western_axis_threat,esc_4in1,ESC board class,flight_stack,all,ea,1.05,3499.7,147.7,26.6,48645,3473.1,7.8,14.0,22.6,32,18.0,MEDIUM,red,7,False,fet_set | mcu_kit,"MCU/FET/capacitor kit availability, firmware QA, and load testing"
western_axis_threat,rx_antenna_set,Receiver and antenna set,flight_stack,rf_only,ea,3.375,11248.9,101.5,18.3,164234,11230.6,8.1,14.6,23.6,34,19.4,MEDIUM_HIGH,yellow,8,False,rf_chip_saw,"receiver chipset, antenna stock, connector format, and field failure/cannibalization rate"
western_axis_threat,micro_parts_set,Micro-parts and wiring set,harness,all,set,1.2,3999.6,232.6,41.9,57994,3957.7,8.1,14.7,23.7,13,0,LOW,green,9,False,,"connector standard, capacitor stock, cable gauge, and kit completeness"
western_axis_threat,fiber_spool_km,Fiber spool,harness,fiber_only,km,2.0,6666.0,208.1,37.5,103323,6628.5,8.6,15.6,25.2,21,5.4,LOW,green,10,False,,"fiber length, spool QA, payout packaging, and transport damage rate"
western_axis_threat,propeller_fpv,Propeller,propulsion,all,ea,6.0,19998.0,619.5,111.5,489951,19886.5,13.7,24.6,39.8,19,0,LOW,yellow,11,False,,"material grade, tooling, balance/warp QA, and packaging loss rate"
western_axis_threat,battery_cell_21700,High-discharge battery cell,power,all,cell,13.2,43995.6,182.8,32.9,1236276,43962.7,15.7,28.1,45.4,20,0,MEDIUM_LOW,yellow,12,False,,"cell origin lot, pack assembly line, BMS stock, connector format, and FIFO aging policy"
southern_port_disruption,flight_controller,Flight controller board,flight_stack,all,ea,1.05,3499.7,115.6,20.8,25897,3478.8,4.2,7.4,12.1,40,32.6,MEDIUM,red,1,True,imu_sensor | mcu_kit,"MCU and IMU stock, firmware porting, calibration bench, and test coverage"
southern_port_disruption,motor_bldc_fpv,BLDC motor class,propulsion,all,ea,4.2,13998.6,425.8,76.6,111989,13922.0,4.5,8.0,13.0,44,36.0,MEDIUM_HIGH,red,2,False,bearing_set | ndfeb_magnet,"NdFeB magnet stock, winding equipment, balancing, bearings, and test fixtures"
southern_port_disruption,camera_module,Camera / imaging module,sensor_payload,all,ea,1.05,3499.7,61.7,11.1,28697,3488.5,4.5,8.2,13.2,73,64.8,HIGH,red,3,False,camera_cmos,"sensor module stock, lens compatibility, ISP/firmware interface, and calibration bench"
southern_port_disruption,esc_4in1,ESC board class,flight_stack,all,ea,1.05,3499.7,87.9,15.8,32547,3483.8,5.2,9.3,15.2,39,29.7,MEDIUM,red,4,False,fet_set | mcu_kit,"MCU/FET/capacitor kit availability, firmware QA, and load testing"
southern_port_disruption,vtx_module,Video transmitter module,flight_stack,rf_only,ea,1.125,3749.6,72.7,13.1,42746,3736.5,6.4,11.4,18.6,71,59.6,HIGH,red,5,False,rf_chip_saw,"RF chipset, SAW filter, thermal design, certification constraints, and alternate BOM"
southern_port_disruption,rx_antenna_set,Receiver and antenna set,flight_stack,rf_only,ea,3.375,11248.9,70.1,12.6,150735,11236.3,7.5,13.4,21.7,47,33.6,MEDIUM_HIGH,yellow,6,False,rf_chip_saw,"receiver chipset, antenna stock, connector format, and field failure/cannibalization rate"
southern_port_disruption,frame_fpv,FPV-class frame,airframe,all,ea,1.0,3333.0,199.2,35.9,52995,3297.1,8.9,16.1,26.0,23,6.9,LOW,green,7,False,,"carbon/composite grade, mold availability, dimensional tolerance, and QA readiness"
southern_port_disruption,battery_cell_21700,High-discharge battery cell,power,all,cell,13.2,43995.6,123.5,22.2,765523,43973.4,9.7,17.4,28.1,38,20.6,MEDIUM_LOW,yellow,8,False,,"cell origin lot, pack assembly line, BMS stock, connector format, and FIFO aging policy"
southern_port_disruption,fiber_comm_module,Fiber communication module,flight_stack,fiber_only,ea,0.105,350.0,181.7,32.7,5879,317.3,10.1,18.5,30.7,28,9.5,MEDIUM,green,9,False,fiber_module_chip,"fiber module sourcing, spool interface, and payout mechanism validation"
southern_port_disruption,micro_parts_set,Micro-parts and wiring set,harness,all,set,1.2,3999.6,203.9,36.7,91191,3962.9,12.8,23.0,37.2,17,0,LOW,green,10,False,,"connector standard, capacitor stock, cable gauge, and kit completeness"
southern_port_disruption,propeller_fpv,Propeller,propulsion,all,ea,6.0,19998.0,737.5,132.8,497950,19865.2,14.0,25.1,40.6,15,0,LOW,yellow,11,False,,"material grade, tooling, balance/warp QA, and packaging loss rate"
southern_port_disruption,fiber_spool_km,Fiber spool,harness,fiber_only,km,2.0,6666.0,255.8,46.0,166650,6620.0,14.0,25.2,40.6,24,0,LOW,green,12,False,,"fiber length, spool QA, payout packaging, and transport damage rate"
