scenario_id,route_id,route_type,material_id,material_label,source_name,origin_port_name,destination_port_name,port_name,target_factory_id,target_factory_name,target_part_category,quantity_kg_30d,import_capacity_kg_30d,distance_nm,distance_km,duration_hours_estimate,duration_min,risk_score,fuel_liters_per_trip,driver_hours_per_trip,estimated_trip_cost_krw,routing_provider,status,routing_status,route_geometry_source,route_geometry_points,route_road_summary,routing_note
baseline,matroad_baseline_copper_electronics_feedstock_port_busan_fac_18d73ec4e7_2,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_18d73ec4e7,한미전선(주),harness,520,,,286.0,,211.0,,44.0,3.52,173300,OSRM public demo server,import-to-factory,routed,,29,33 / 성남로 3.0km → 33 / 관문대로 2.4km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_copper_electronics_feedstock_port_busan_fac_e9184ea9bd_3,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_e9184ea9bd,(주)금화전선,harness,469,,,290.8,,219.1,,44.7,3.65,178300,OSRM public demo server,import-to-factory,routed,,30,33 / 성남로 3.0km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km → 45 / 중부내륙고속도로 23.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_copper_electronics_feedstock_port_busan_fac_0469d3cc51_4,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_0469d3cc51,대덕전자(주),flight_stack,395,,,376.0,,274.9,,57.8,4.58,226600,OSRM public demo server,import-to-factory,routed,,44,33 / 성남로 3.0km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km → 45 / 중부내륙고속도로 149.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lightweight_airframe_feedstock_port_ulsan_fac_c647d0865d_1,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_c647d0865d,에이테크솔루션(주),airframe,5069,,,348.1,,269.8,,53.6,4.5,216900,OSRM public demo server,import-to-factory,routed,,42,용잠로 4.4km → 20 / 남부순환도로 8.5km → 16 / 울산고속도로 13.7km → 1 / 경부고속도로 41.7km → 경부고속도로 8.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lightweight_airframe_feedstock_port_ulsan_fac_94c213e613_2,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_94c213e613,정일금형정공(주),airframe,4431,,,355.9,,273.2,,54.8,4.55,220600,OSRM public demo server,import-to-factory,routed,,42,용잠로 4.4km → 20 / 남부순환도로 8.5km → 16 / 울산고속도로 13.7km → 1 / 경부고속도로 41.7km → 경부고속도로 8.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lightweight_airframe_feedstock_port_ulsan_fac_82ab4f0707_3,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_82ab4f0707,대성플라스틱,airframe,3642,,,165.8,,153.1,,25.5,2.55,114800,OSRM public demo server,import-to-factory,routed,,41,unnamed road 12.5km → 16 / 울산고속도로 13.7km → 1 / 경부고속도로 41.7km → 301 / 상주영천고속도로 11.4km → 28 9.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_lightweight_airframe_feedstock_port_ulsan_fac_cc1c9e0bfe_4,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_cc1c9e0bfe,(주)델타금형컴퍼니,airframe,72,,,302.1,,241.4,,46.5,4.02,191700,OSRM public demo server,import-to-factory,routed,,59,용잠로 2.3km → 신항로 6.5km → 65 / 부산포항고속도로 2.4km → 14 / 함양울산고속도로 71.2km → 45 / 중부내륙고속도로 36.3km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_optical_sensor_components_port_pohang_fac_5b9b5c4665_1,port_to_factory_material,optical_sensor_components,Optics,,,,Pohang Port,fac_5b9b5c4665,(주)삼양옵틱스,sensor_payload,234,,,142.3,,139.4,,21.9,2.32,102300,OSRM public demo server,import-to-factory,routed,,24,unnamed road 7.9km → 20 / 건포산업로 23.7km → 20 / 외현로 16.4km → 35 / 반구대로 3.5km → 1 / 경부고속도로 43.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_optical_sensor_components_port_pohang_fac_39453d026e_2,port_to_factory_material,optical_sensor_components,Optics,,,,Pohang Port,fac_39453d026e,부원광학(주),sensor_payload,222,,,315.8,,252.5,,48.6,4.21,200400,OSRM public demo server,import-to-factory,routed,,38,unnamed road 7.1km → 7 / 새천년대로 4.9km → 28 / 호국로 25.0km → 301 / 상주영천고속도로 79.2km → 45 / 중부내륙고속도로 125.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_optical_sensor_components_port_pohang_fac_574770868e_3,port_to_factory_material,optical_sensor_components,Optics,,,,Pohang Port,fac_574770868e,(주)한광옵토,sensor_payload,222,,,341.6,,276.1,,52.6,4.6,218200,OSRM public demo server,import-to-factory,routed,,40,unnamed road 5.0km → 7 / 새천년대로 4.9km → 28 / 호국로 25.0km → 301 / 상주영천고속도로 79.2km → 45 / 중부내륙고속도로 125.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_optical_sensor_components_port_pohang_fac_864caccf17_4,port_to_factory_material,optical_sensor_components,Optics,,,,Pohang Port,fac_864caccf17,(주)그린광학 (1공장),sensor_payload,209,,,235.2,,194.2,,36.2,3.24,152100,OSRM public demo server,import-to-factory,routed,,42,unnamed road 6.6km → 7 / 새천년대로 4.9km → 28 / 호국로 25.0km → 28 4.3km → 301 / 상주영천고속도로 79.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_industrial_polymers_packaging_port_busan_fac_cb50eed1fd_1,port_to_factory_material,industrial_polymers_packaging,Polymers,,,,Busan Port,fac_cb50eed1fd,(주)신안포장,qa_packaging,828,,,419.5,,306.0,,64.5,5.1,252500,OSRM public demo server,import-to-factory,routed,,49,55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km → 45 / 중부내륙고속도로 149.8km → 50 / 영동고속도로 13.1km → 35 / 중부고속도로 10.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_industrial_polymers_packaging_port_busan_fac_ee30082ddc_2,port_to_factory_material,industrial_polymers_packaging,Polymers,,,,Busan Port,fac_ee30082ddc,미래포장(주),qa_packaging,823,,,351.4,,265.3,,54.1,4.42,215700,OSRM public demo server,import-to-factory,routed,,42,33 / 성남로 3.0km → 33 / 관문대로 2.4km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_industrial_polymers_packaging_port_busan_fac_be98174b87_3,port_to_factory_material,industrial_polymers_packaging,Polymers,,,,Busan Port,fac_be98174b87,양지포장,qa_packaging,744,,,416.3,,305.6,,64.0,5.09,251500,OSRM public demo server,import-to-factory,routed,,47,33 / 성남로 3.0km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 91.7km → 1; 55 / 경부고속도로 59.2km → 45 / 중부내륙고속도로 186.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
baseline,matroad_baseline_industrial_polymers_packaging_port_busan_fac_priority_a2d8939ba2_4,port_to_factory_material,industrial_polymers_packaging,Polymers,,,,Busan Port,fac_priority_a2d8939ba2,유비파이 / UVify,drone_assembly,202,,,341.8,,250.7,,52.6,4.18,206400,OSRM public demo server,import-to-factory,routed,,40,33 / 성남로 3.0km → 33 / 관문대로 2.4km → 33 / 백양터널 2.4km → 33 / 모라로 2.4km → 55 / 대구부산고속도로 91.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,sea_western_axis_threat_src_jp_maizuru_magnets_port_donghae,maritime_import,ndfeb_magnet_feedstock,,Japan west-coast magnet buffer,Maizuru,Donghae Port,,,,,,3783,325.7,,21.0,,0.216,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,sea_western_axis_threat_src_jp_niigata_battery_port_donghae,maritime_import,lithium_battery_feedstock,,Japan Sea battery-material buffer,Niigata,Donghae Port,,,,,,11419,474.2,,30.6,,0.188,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,sea_western_axis_threat_src_jp_kitakyushu_electronics_port_busan,maritime_import,copper_electronics_feedstock,,Kyushu electronics and copper buffer,Kitakyushu,Busan Port,,,,,,7100,117.1,,7.6,,0.143,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,5,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,sea_western_axis_threat_src_jp_nagoya_composite_port_ulsan,maritime_import,lightweight_airframe_feedstock,,Chubu composite and light-metal buffer,Nagoya,Ulsan Port,,,,,,13248,528.7,,34.1,,0.228,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,8,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,sea_western_axis_threat_src_jp_yokohama_optics_port_pohang,maritime_import,optical_sensor_components,,Kanto optics and imaging buffer,Yokohama,Pohang Port,,,,,,1218,685.0,,44.2,,0.212,,,,,east_sea_preferred,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,9,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,sea_western_axis_threat_src_jp_kobe_polymers_port_busan,maritime_import,industrial_polymers_packaging,,Kansai industrial polymer buffer,Kobe,Busan Port,,,,,,8035,333.3,,21.5,,0.233,,,,,southern_port_link,maritime_corridor_estimate,coastal_waypoint_corridor_v0.2,7,,"Route corridors are coarse public-demo logistics lanes, not operational vessel tasking or protected convoy guidance."
western_axis_threat,matroad_western_axis_threat_ndfeb_magnet_feedstock_port_donghae_fac_a361915069_1,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_a361915069,하이젠 모터(주),propulsion,328,,,330.2,,294.1,,50.8,4.9,223600,OSRM public demo server,import-to-factory,routed,,32,7 / 동해대로 138.5km → 65 / 동해고속도로 30.8km → 영일만대로 19.6km → 20 / 건포산업로 21.4km → 20 / 외현로 16.4km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_ndfeb_magnet_feedstock_port_donghae_fac_7f2271c9dd_2,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_7f2271c9dd,에이지테크(주),propulsion,320,,,317.8,,290.1,,48.9,4.83,218500,OSRM public demo server,import-to-factory,routed,,30,7 / 동해대로 138.5km → 65 / 동해고속도로 30.8km → 영일만대로 19.6km → 20 / 건포산업로 21.4km → 20 / 외현로 16.4km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_ndfeb_magnet_feedstock_port_donghae_fac_c9c7e34696_3,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_c9c7e34696,(주)세신정밀,propulsion,317,,,266.6,,255.9,,41.0,4.26,189100,OSRM public demo server,import-to-factory,routed,,34,38; 28 / 강원남부로 17.5km → 38; 424 11.5km → 강원남부로 7.6km → 동태백로 11.6km → 31; 35 / 파인토피아로 55.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_ndfeb_magnet_feedstock_port_donghae_fac_af17d777fb_4,port_to_factory_material,ndfeb_magnet_feedstock,NdFeB,,,,Donghae Port,fac_af17d777fb,대상공업,propulsion,279,,,301.0,,272.2,,46.3,4.54,205700,OSRM public demo server,import-to-factory,routed,,34,38; 28 / 강원남부로 17.5km → 38; 424 11.5km → 강원남부로 7.6km → 동태백로 11.6km → 31; 35 / 파인토피아로 55.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lithium_battery_feedstock_port_donghae_fac_673f38594f_1,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_673f38594f,(주)에코프로지이엠,power,2725,,,145.0,,171.1,,22.3,2.85,117800,OSRM public demo server,import-to-factory,routed,,39,38; 28 / 강원남부로 17.5km → 38; 424 11.5km → 강원남부로 7.6km → 동태백로 11.6km → 31; 35 / 파인토피아로 23.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lithium_battery_feedstock_port_donghae_fac_cf822580e7_2,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_cf822580e7,도레이배터리세퍼레이터필름한국(유),power,2725,,,130.5,,144.5,,20.1,2.41,101600,OSRM public demo server,import-to-factory,routed,,56,38; 28 / 강원남부로 17.5km → 38; 424 / 강원남부로 3.1km → 38; 424 11.5km → 강원남부로 7.6km → 동태백로 11.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lithium_battery_feedstock_port_donghae_fac_40abaf57ad_3,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_40abaf57ad,(주)엘지화학,power,2553,,,378.8,,317.6,,58.3,5.29,247300,OSRM public demo server,import-to-factory,routed,,45,38; 28 / 강원남부로 17.5km → 38 / 강원남로 41.0km → 31; 38; 59 / 강원남로 26.6km → 38 / 북부로 17.7km → 40 / 평택제천고속도로 37.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lithium_battery_feedstock_port_donghae_fac_f331d39f34_4,port_to_factory_material,lithium_battery_feedstock,Battery,,,,Donghae Port,fac_f331d39f34,세방산업(주),power,2509,,,434.1,,371.3,,66.8,6.19,286800,OSRM public demo server,import-to-factory,routed,,45,38; 28 / 강원남부로 17.5km → 38; 424 11.5km → 강원남부로 7.6km → 동태백로 11.6km → 31; 35 / 파인토피아로 55.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_copper_electronics_feedstock_port_busan_fac_de8898e30b_1,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_de8898e30b,고려전선(주),harness,453,,,135.8,,105.2,,20.9,1.75,84600,OSRM public demo server,import-to-factory,routed,,32,33 / 성남로 3.0km → 33 / 관문대로 2.4km → 33 / 백양터널 2.4km → 55 / 대구부산고속도로 85.7km → 25 / 달구벌대로 7.6km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_copper_electronics_feedstock_port_busan_fac_057f46ae7f_2,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_057f46ae7f,(주)대건테크,harness,440,,,43.3,,37.8,,6.7,0.63,29000,OSRM public demo server,import-to-factory,routed,,30,대청로 1.0km → 2; 77 / 낙동대로 4.7km → 2; 77 / 낙동남로 7.0km → 58; 69 / 생곡로 3.6km → 세산고가도로 0.8km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_copper_electronics_feedstock_port_busan_fac_798af9d574_3,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_798af9d574,기성전선(주),harness,410,,,22.5,,22.1,,3.5,0.37,16200,OSRM public demo server,import-to-factory,routed,,46,대교로 1.3km → 태종로 1.3km → 부산항대교접속고가도로 3.4km → 신선대지하도로 2.3km → 대연고가도로 1.2km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_copper_electronics_feedstock_port_busan_fac_da18417347_4,port_to_factory_material,copper_electronics_feedstock,Copper/PCB,,,,Busan Port,fac_da18417347,삼부전선(주),harness,405,,,120.9,,105.1,,18.6,1.75,80700,OSRM public demo server,import-to-factory,routed,,47,51 / 학감대로 2.0km → 104 / 남해고속도로제2지선 19.7km → 10 / 남해고속도로 29.3km → 45 / 중부내륙고속도로 19.5km → 79 / 영산장마로 5.9km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lightweight_airframe_feedstock_port_ulsan_fac_7535e7d481_1,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_7535e7d481,(주)데크카본,airframe,4092,,,269.9,,226.9,,41.5,3.78,176500,OSRM public demo server,import-to-factory,routed,,52,14 / 함양울산고속도로 71.2km → 45 / 중부내륙고속도로 36.3km → 12 / 광주대구고속도로 44.9km → 24; 26; 37 / 거함대로 13.1km → 26 / 육십령로 9.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lightweight_airframe_feedstock_port_ulsan_fac_94c213e613_2,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_94c213e613,정일금형정공(주),airframe,3959,,,355.9,,273.2,,54.8,4.55,220600,OSRM public demo server,import-to-factory,routed,,42,용잠로 4.4km → 20 / 남부순환도로 8.5km → 16 / 울산고속도로 13.7km → 1 / 경부고속도로 41.7km → 경부고속도로 8.5km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lightweight_airframe_feedstock_port_ulsan_fac_82ab4f0707_3,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_82ab4f0707,대성플라스틱,airframe,3452,,,165.8,,153.1,,25.5,2.55,114800,OSRM public demo server,import-to-factory,routed,,41,unnamed road 12.5km → 16 / 울산고속도로 13.7km → 1 / 경부고속도로 41.7km → 301 / 상주영천고속도로 11.4km → 28 9.1km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_lightweight_airframe_feedstock_port_ulsan_fac_cc1c9e0bfe_4,port_to_factory_material,lightweight_airframe_feedstock,Composite,,,,Ulsan Port,fac_cc1c9e0bfe,(주)델타금형컴퍼니,airframe,1745,,,302.1,,241.4,,46.5,4.02,191700,OSRM public demo server,import-to-factory,routed,,59,용잠로 2.3km → 신항로 6.5km → 65 / 부산포항고속도로 2.4km → 14 / 함양울산고속도로 71.2km → 45 / 중부내륙고속도로 36.3km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
western_axis_threat,matroad_western_axis_threat_optical_sensor_components_port_pohang_fac_5b9b5c4665_1,port_to_factory_material,optical_sensor_components,Optics,,,,Pohang Port,fac_5b9b5c4665,(주)삼양옵틱스,sensor_payload,222,,,142.3,,139.4,,21.9,2.32,102300,OSRM public demo server,import-to-factory,routed,,24,unnamed road 7.9km → 20 / 건포산업로 23.7km → 20 / 외현로 16.4km → 35 / 반구대로 3.5km → 1 / 경부고속도로 43.7km,Prototype route from OpenStreetMap road graph. Production should use approved provider or self-hosted OSRM.
