scenario_id,scenario_name,part_category,part_label,shortlist_rank,scenario_score,factory_id,company_name,province,city,capacity_tier,capacity_index,capacity_confidence,predicted_output_units_30d,adjusted_capacity_units_30d,risk,risk_reason,grid_zone_id,grid_dependency_score,outage_output_multiplier,nearest_assembly_factory_id,nearest_assembly_factory_name,nearest_assembly_factory_site_label,straight_line_to_assembly_factory_km,route_matrix_status,selection_reason
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,21,131.725,fac_934bdaf6ea,세원셀론텍(주),서울특별시,성동구,C,0.607,0.885,450,310,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.487,0.698,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,9.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,22,131.562,fac_0c56269037,성우엔지니어링,충청북도,청주시,C,0.615,0.885,500,358,0.12,normal public-data uncertainty,grid_zone_49414766,0.445,0.724,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,35.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,23,130.926,fac_639e547997,(주)한성티앤아이,충청남도,아산시,B,0.665,0.885,500,316,0.12,normal public-data uncertainty,grid_zone_2d0a6a6a,0.583,0.639,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,76.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,24,130.075,fac_f427ea5d48,티제이드론 주식회사,경기도,동두천시,C,0.51,0.946,350,190,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.726,0.55,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,12.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,25,129.644,fac_priority_a88e092d3c,두산모빌리티이노베이션 / DMI,경기도,화성시,B,0.62,0.68,920,505,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.718,0.555,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,4.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,26,129.436,fac_bab62d9083,(주)샘코,경상남도,사천시,B,0.644,0.885,500,358,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.444,0.725,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,90.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,27,128.996,fac_96bb352e3b,주식회사 보라스카이,서울특별시,금천구,C,0.501,0.915,375,257,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.493,0.694,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,19.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,28,128.408,fac_0490d72056,(주)시큐어텍,서울특별시,금천구,C,0.508,0.895,400,274,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.493,0.694,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,28.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,29,128.31,fac_priority_6b3e5b31bb,니나노컴퍼니 / NINANO COMPANY,경상북도,김천시,C,0.62,0.64,760,532,0.12,normal public-data uncertainty,grid_zone_e6011691,0.472,0.707,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,17.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,30,128.054,fac_93f969d774,주식회사 드론코리아 아카데미,경상북도,안동시,C,0.51,0.915,350,243,0.12,normal public-data uncertainty,grid_zone_e6011691,0.477,0.704,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,11.2,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,31,126.032,fac_8cd3e105ff,(주)피앤유드론,부산광역시,사상구,C,0.459,0.895,325,239,0.12,normal public-data uncertainty,grid_zone_c6caac65,0.411,0.745,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,2.2,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,32,125.1,fac_ff085ac425,(주)아소아,인천광역시,서구,C,0.463,0.875,325,232,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.445,0.724,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,15.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,33,124.999,fac_ae0ee98625,(주)휴인스,서울특별시,강서구,C,0.53,0.85,450,311,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.484,0.7,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,9.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,34,124.639,fac_e4d15a49f4,(주)블루젠드론,경기도,성남시,C,0.507,0.915,375,205,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.72,0.554,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,36.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,35,124.389,fac_a830b877f1,스포키무인항공(주),인천광역시,계양구,C,0.478,0.88,350,251,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.442,0.726,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,4.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,36,124.25,fac_092af70667,TEC-EYE SYSTEM ENGINEERING,대전광역시,대덕구,C,0.505,0.885,375,280,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.393,0.756,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,11.8,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,37,124.035,fac_913060bec4,태경전자(주),경기도,안양시,C,0.539,0.865,425,234,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.713,0.558,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,11.2,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,38,123.779,fac_a9df5e14ef,일신클라우드(주),경기도,안성시,C,0.535,0.885,375,207,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.713,0.558,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,2.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,39,123.552,fac_3f03979ad2,(주)한빛드론,인천광역시,서구,C,0.472,0.86,350,251,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.442,0.726,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,7.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,40,123.407,fac_d519f00ffe,고성모,전라북도,군산시,C,0.523,0.885,425,313,0.12,normal public-data uncertainty,grid_zone_fabab736,0.412,0.745,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,77.6,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,41,123.184,fac_6d3d21adda,(주)아와소프트,경기도,성남시,C,0.557,0.885,400,220,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.713,0.558,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,21.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,42,123.174,fac_b8071a3e88,주식회사 리얼테크,대구광역시,남구,C,0.476,0.895,350,258,0.12,normal public-data uncertainty,grid_zone_9392b593,0.408,0.747,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,70.2,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,43,122.688,fac_9abc11fbd5,(주)골드론,광주광역시,광산구,C,0.514,0.895,375,278,0.12,normal public-data uncertainty,grid_zone_eb82a68b,0.404,0.75,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,126.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,44,122.571,fac_def723b55b,(주)그리폰다이나믹스,경상북도,경산시,C,0.497,0.865,375,262,0.12,normal public-data uncertainty,grid_zone_e6011691,0.471,0.708,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,1.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,45,122.553,fac_6ef314c1e6,(주)탱고드론,서울특별시,마포구,D,0.448,0.9,300,206,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.49,0.696,fac_priority_ee105ea137,에이럭스 / ALUX · 도봉 공식 사업장 / 제조 인프라 확인 필요,도봉 공식 사업장 / 제조 인프라 확인 필요,2.2,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,46,122.475,fac_priority_30f272099b,아쎄따 / ASSETTA,대전광역시,유성구,C,0.62,0.58,580,435,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.389,0.759,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,14.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,47,122.395,fac_fed947797c,주식회사 두타기술,대전광역시,유성구,C,0.462,0.885,350,261,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.393,0.756,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,10.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,48,122.386,fac_c5759898d2,(주)숨비,인천광역시,연수구,C,0.492,0.845,400,288,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.439,0.728,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,2.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,49,122.218,fac_8e941413bd,드론공장,인천광역시,서구,D,0.435,0.875,325,232,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.445,0.724,fac_priority_d14c61f1b0,파블로항공 / PABLO AIR · 송도 제조센터,송도 제조센터,9.1,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,50,122.206,fac_a403d22141,주식회사 엑스드론,서울특별시,영등포구,C,0.456,0.86,375,258,0.12,normal public-data uncertainty,grid_zone_3964bd52,0.49,0.696,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,16.0,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,51,122.032,fac_5943795db8,경남UAV시스텍연구소,경상남도,진주시,C,0.456,0.895,325,232,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.45,0.721,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,64.7,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,52,121.861,fac_7457da3cae,㈜스페이스소프트,대전광역시,유성구,C,0.469,0.865,375,280,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.393,0.756,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,11.6,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,53,121.68,fac_15ec90caa4,그라프너(주),경기도,부천시,C,0.539,0.845,400,220,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.713,0.558,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,17.8,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,54,121.671,fac_fcd0321d6f,순돌이드론,경기도,하남시,C,0.49,0.895,350,191,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.72,0.554,fac_priority_f1709ef7e1,프리뉴 / PRENEU · 안산 Manufacturing Center,안산 Manufacturing Center,8.5,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,55,121.265,fac_8dcf030769,디브레인,대전광역시,유성구,C,0.473,0.845,375,280,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.393,0.756,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,9.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,56,121.01,fac_2aadb860a5,(주)화신플레이스,인천광역시,서구,C,0.46,0.845,325,234,0.12,normal public-data uncertainty,grid_zone_4f20da2a,0.439,0.728,fac_priority_5daa57ca08,아쎄따 / ASSETTA · 인천 연구소/공장,인천 연구소/공장,1.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,57,120.92,fac_f67e965e56,코리아드론 주식회사,경상남도,창원시,C,0.454,0.86,325,232,0.12,normal public-data uncertainty,grid_zone_a1097f3c,0.447,0.723,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,37.6,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,58,120.694,fac_priority_c8a807e8e7,니나노컴퍼니 / NINANO COMPANY,경상북도,구미시,C,0.62,0.6,650,456,0.12,normal public-data uncertainty,grid_zone_e6011691,0.469,0.709,fac_priority_d8652de781,본AI · 상주 생산공장,상주 생산공장,61.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,59,120.541,fac_51bbc0cb21,(주)진코치,경기도,용인시,C,0.457,0.875,325,178,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.72,0.554,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,16.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,60,120.53,fac_2cbee83073,"팀꾸러기, 드론미디어",대전광역시,서구,D,0.428,0.86,325,242,0.12,normal public-data uncertainty,grid_zone_ed9208b5,0.396,0.754,fac_priority_38de94e360,유콘시스템 / UCONSYSTEM · 대전 본사 / 생산기지 가정,대전 본사 / 생산기지 가정,13.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,61,120.362,fac_c5a158a6d5,(주)경기드론,경기도,군포시,C,0.471,0.88,350,192,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.716,0.556,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,13.4,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,62,120.261,fac_f4f6aba9d5,주식회사 피코,부산광역시,영도구,D,0.449,0.865,325,241,0.12,normal public-data uncertainty,grid_zone_c6caac65,0.405,0.749,fac_priority_7660b03367,대한항공 항공우주사업본부 · 대한항공 테크센터,대한항공 테크센터,6.9,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
baseline,Baseline Production Plan,drone_assembly,Drone / Final Assembly,63,120.028,fac_priority_dcd57f44db,아쎄따 / ASSETTA,경기도,고양시,C,0.62,0.6,620,343,0.12,normal public-data uncertainty,grid_zone_bfcc2516,0.711,0.559,fac_priority_a2d8939ba2,유비파이 / UVify · 의왕 연구소 / 생산기지,의왕 연구소 / 생산기지,14.3,pending_shortlist_route,top capacity/risk/logistics candidate before expensive road-route matrix expansion
